epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3167.03,1.3743,1.50756,1.53246,0.66985,0.61137,0.60342,0.30692,1.58356,1.16637,1.58254,0.0065548,0.0065548,0.0065548
89,3202.56,1.38845,1.53606,1.5406,0.60523,0.65086,0.62958,0.28619,1.66429,1.41162,1.6274,0.0065152,0.0065152,0.0065152
90,3237.98,1.38312,1.53234,1.53582,0.63182,0.61051,0.60094,0.28943,1.5719,1.22701,1.55611,0.0064756,0.0064756,0.0064756
91,3273.48,1.38802,1.52026,1.53451,0.60877,0.68952,0.61543,0.28029,1.65966,1.23495,1.64235,0.006436,0.006436,0.006436
92,3309.26,1.3748,1.50239,1.53085,0.64699,0.67661,0.61999,0.27138,1.71267,1.28329,1.69765,0.0063964,0.0063964,0.0063964
93,3344.42,1.38791,1.52979,1.54924,0.64199,0.69947,0.62521,0.29211,1.66306,1.3066,1.60441,0.0063568,0.0063568,0.0063568
94,3379.54,1.38475,1.48092,1.54322,0.71732,0.67978,0.6441,0.28766,1.64212,1.171,1.61933,0.0063172,0.0063172,0.0063172
95,3415.84,1.37298,1.49905,1.53188,0.61012,0.6975,0.61076,0.30624,1.53795,1.19287,1.52847,0.0062776,0.0062776,0.0062776
96,3452.17,1.37212,1.51671,1.52787,0.64982,0.64335,0.61356,0.29483,1.59715,1.25706,1.56592,0.006238,0.006238,0.006238
97,3487.96,1.37488,1.50183,1.52338,0.69464,0.69413,0.66888,0.30584,1.60382,1.16597,1.59201,0.0061984,0.0061984,0.0061984
98,3522.38,1.34973,1.46735,1.51372,0.61448,0.65192,0.59998,0.2813,1.57854,1.17926,1.55673,0.0061588,0.0061588,0.0061588
99,3558.27,1.36688,1.49378,1.51943,0.64609,0.6384,0.59812,0.28773,1.58512,1.25706,1.60964,0.0061192,0.0061192,0.0061192
100,3594.06,1.36124,1.52534,1.53014,0.58882,0.67993,0.61805,0.28222,1.66889,1.22279,1.63067,0.0060796,0.0060796,0.0060796
101,3629.59,1.34044,1.46318,1.5056,0.61757,0.62754,0.6011,0.29849,1.51626,1.12972,1.52622,0.00604,0.00604,0.00604
102,3665.02,1.36089,1.47815,1.51002,0.55858,0.70198,0.63909,0.3292,1.46735,1.16179,1.47767,0.0060004,0.0060004,0.0060004
103,3700.71,1.3693,1.46116,1.52921,0.70771,0.69601,0.63695,0.32673,1.44678,1.15221,1.46136,0.0059608,0.0059608,0.0059608
104,3736.09,1.35487,1.44832,1.50615,0.62776,0.64191,0.59623,0.28641,1.52438,1.18735,1.52471,0.0059212,0.0059212,0.0059212
105,3772.49,1.355,1.47495,1.52019,0.65494,0.6937,0.62605,0.30815,1.49344,1.21816,1.49753,0.0058816,0.0058816,0.0058816
106,3808.13,1.34616,1.4461,1.49963,0.70292,0.68627,0.66055,0.3414,1.41803,1.07103,1.41234,0.005842,0.005842,0.005842
107,3843.31,1.33793,1.4378,1.50767,0.70316,0.68439,0.6435,0.29214,1.54706,1.29641,1.54514,0.0058024,0.0058024,0.0058024
108,3879.45,1.36078,1.45533,1.50325,0.69325,0.70325,0.66784,0.32433,1.47838,1.11706,1.47373,0.0057628,0.0057628,0.0057628
109,3915.38,1.35278,1.44055,1.52776,0.65217,0.64625,0.60717,0.30772,1.49964,1.14522,1.48376,0.0057232,0.0057232,0.0057232
110,3951.49,1.36812,1.44374,1.5132,0.69895,0.70251,0.66874,0.34104,1.45303,1.12651,1.45228,0.0056836,0.0056836,0.0056836
111,3986.9,1.3432,1.44977,1.52405,0.69259,0.67412,0.64605,0.33916,1.41999,1.13344,1.44605,0.005644,0.005644,0.005644
112,4021.51,1.35834,1.44277,1.5188,0.60043,0.68936,0.63732,0.3268,1.48694,1.14783,1.4886,0.0056044,0.0056044,0.0056044
113,4057.38,1.32247,1.41233,1.49846,0.67659,0.69413,0.63815,0.32645,1.5154,1.11876,1.49826,0.0055648,0.0055648,0.0055648
114,4093.81,1.33242,1.41772,1.50507,0.70271,0.66355,0.63708,0.32999,1.45272,1.08236,1.43526,0.0055252,0.0055252,0.0055252
115,4130.02,1.3501,1.42323,1.50651,0.71958,0.66626,0.63843,0.3022,1.58822,1.08288,1.55114,0.0054856,0.0054856,0.0054856
116,4164.91,1.33782,1.39693,1.48434,0.68817,0.64678,0.61961,0.27267,1.69154,1.17016,1.64237,0.005446,0.005446,0.005446
